,Country,no_of_stars,name,city,cuisine
0,Austria,1,aend,Wien,Modern cuisine
1,Austria,1,Pramerl & the Wolf,Wien,Creative
2,Austria,1,SHIKI,Wien,Japanese
3,Austria,1,Edvard,Wien,Modern cuisine
4,Austria,1,Tian,Wien,Vegetarian
5,Austria,1,Das Loft,Wien,Modern cuisine
6,Austria,1,Carpe Diem,Salzburg,Market cuisine
7,Austria,1,Le Ciel by Toni Mörwald,Wien,Classic cuisine
8,Austria,1,Kilian Stuba,Kleinwalsertal,Creative
9,Austria,1,Walter Bauer,Wien,Classic cuisine
10,Austria,1,Esszimmer,Salzburg,Creative
11,Austria,1,Pfefferschiff,Hallwang,Classic cuisine
12,Austria,2,SENNS.Restaurant,Salzburg,Creative
13,Austria,2,Konstantin Filippou,Wien,Modern cuisine
14,Austria,2,Mraz & Sohn,Wien,Creative
15,Austria,2,Steirereck im Stadtpark,Wien,Creative
16,Austria,2,Silvio Nickol Gourmet Restaurant,Wien,Modern cuisine
17,Austria,2,Ikarus,Salzburg,Creative
18,Austria,3,Amador,Wien,Creative
