,Country,no_of_stars,name,city
0,Belgium,1,Little Paris,"chaussée de Bruxelles 89, 1410 Waterloo"
1,Belgium,1,Aux petits oignons,"chaussée de Tirlemont 260, 1370 Jodoigne"
2,Belgium,1,Carcasse,"Henri Christiaenlaan 5, 8670 Sint-Idesbald"
3,Belgium,1,Da Mimmo,"avenue du Roi Chevalier 24, 1200 Woluwe-Saint-Lambert"
4,Belgium,1,JER,"Persoonstraat 16, 3500 Hasselt"
5,Belgium,1,De Zuidkant,"Jacob van Maerlantstraat 6, 8340 Damme"
6,Belgium,1,Hostellerie Vivendum,"Vissersstraat 2, 3650 Dilsen"
7,Belgium,1,Alain Bianchin,"Brusselsesteenweg 663, 3090 Overijse"
8,Belgium,1,Hostellerie Le Prieuré Saint-Géry,"rue Lambot 9, 6500 Solre-Saint-Géry"
9,Belgium,1,Héliport Brasserie,"allée de Erables, 4000 Liège"
10,Belgium,1,Hof ter Eycken,"Aalstersesteenweg 298, 9400 Ninove"
11,Belgium,1,Vol-Ver,"Watervalstraat 23, 8510 Marke"
12,Belgium,1,Innesto,"Grote Baan 9, 3530 Houthalen"
13,Belgium,1,La Villa Lorraine,"avenue du Vivier d'Oie 75, 1000 Bruxelles"
14,Belgium,1,Les Gourmands,"rue de Sars 15, 7040 Blaregnies"
15,Belgium,1,La Canne en Ville,"rue de la Réforme 22, 1050 Ixelles"
16,Belgium,1,Hostellerie Gilain,"rue de l'Aiguigeois 1, 5503 Sorinnes"
17,Belgium,1,FRANQ,"Kipdorp 10, 2000 Antwerpen"
18,Belgium,1,Bij Lam &amp; Yin,"Reynderstraat 17, 2000 Antwerpen"
19,Belgium,1,Arenberg,"Kapeldreef 46, 3001 Heverlee"
20,Belgium,1,Arabelle Meirlaen,"chemin de Bertrandfontaine 7, 4570 Marchin"
21,Belgium,1,Den Gouden Harynck,"Groeninge 25, 8000 Brugge"
22,Belgium,1,The Butcher's son,"Boomgaardstraat 1, 2018 Antwerpen"
23,Belgium,1,Chai Gourmand,"Rue Chainisse 45, 5030 Beuzet"
24,Belgium,1,Brasserie Julie,"Dorpsplein 3, 1700 Sint-Martens-Bodegem"
25,Belgium,1,Hof Ter Hulst,"Kerkstraat 33, 2235 Hulshout"
26,Belgium,1,Nathan,"Lange Koepoortstraat 13, 2000 Antwerpen"
27,Belgium,1,La Plage d'Amée,"rue des Peupliers 2, 5100 Jambes"
28,Belgium,1,Bistro Racine,"rue Courte de la Station 2, 1440 Braine-le-Château"
29,Belgium,1,Het Gebaar,"Leopoldstraat 24, 2000 Antwerpen"
30,Belgium,1,Zur Post,"Hauptstraße 39, 4780 Sankt Vith"
31,Belgium,1,La Ligne Rouge,"chaussée de Charleroi 38, 1380 Plancenoit"
