,Country,no_of_stars,name,city
0,Germany,1,Schranners Waldhorn,"Schönbuchstr. 49, 72074 Tübingen-Bebenhausen"
1,Germany,1,Camers Schlossrestaurant,"Schlossstr. 25, 85411 HOHENKAMMER"
2,Germany,1,Tian,"Frauenstr. 4, 80469 München"
3,Germany,1,Landhaus Köpp,"Husenweg 147, 46509 Xanten-Obermörmter"
4,Germany,1,Ernst,"Gerichtstr. 54, 13347 Berlin-Wedding"
5,Germany,1,CODA Dessert Dining,"Friedelstr. 47, 12047 Berlin-Neukölln"
6,Germany,1,Der Schwarze Adler,"Kraftshofer Hauptstr. 166, 90427 Nürnberg-Kraftshof"
7,Germany,1,Der Schwarze Adler,"Kraftshofer Hauptstr. 166, 90427 Nürnberg-Kraftshof"
8,Germany,1,Abt- und Schäferstube,"Schafhof 1, 63916 Amorbach"
9,Germany,1,Abt- und Schäferstube,"Schafhof 1, 63916 Amorbach"
10,Germany,1,Sterneck,"Cuxhavener Str. 86, 27476 Cuxhaven-Duhnen"
11,Germany,1,Sterneck,"Cuxhavener Str. 86, 27476 Cuxhaven-Duhnen"
12,Germany,1,St. Jacques,"Feldstr. 50, 52525 Heinsberg-Randerath"
13,Germany,1,St. Jacques,"Feldstr. 50, 52525 Heinsberg-Randerath"
14,Germany,1,Piment,"Lehmweg 29, 20251 Hamburg-Eppendorf"
15,Germany,1,Piment,"Lehmweg 29, 20251 Hamburg-Eppendorf"
16,Germany,1,Speisemeisterei,"Schloss Hohenheim 1B, 70599 Stuttgart-Hohenheim"
17,Germany,1,Speisemeisterei,"Schloss Hohenheim 1B, 70599 Stuttgart-Hohenheim"
18,Germany,1,maiBeck,"Am Frankenturm 5, 50667 Köln"
19,Germany,1,maiBeck,"Am Frankenturm 5, 50667 Köln"
20,Germany,1,Goldener Anker,"Lippetor 4, 46282 Dorsten"
21,Germany,1,Goldener Anker,"Lippetor 4, 46282 Dorsten"
22,Germany,1,Reuter,"Bleichstr. 3, 33378 RHEDA-WIEDENBRÜCK"
23,Germany,1,Reuter,"Bleichstr. 3, 33378 RHEDA-WIEDENBRÜCK"
24,Germany,1,Gutshaus Stolpe,"Peenstr. 33, 17391 Stolpe"
