,Country,no_of_stars,name,city,cuisine
0,Hong Kong,1,Liu Yuan Pavilion,Hong Kong,Shanghainese
1,Hong Kong,1,Vea,Hong Kong,Innovative
2,Hong Kong,1,Épure,Hong Kong,French contemporary
3,Hong Kong,1,Pang's Kitchen,Hong Kong,Cantonese
4,Hong Kong,1,New Punjab Club,Hong Kong,Indian
5,Hong Kong,1,Man Wah,Hong Kong,Cantonese
6,Hong Kong,1,Rùn,Hong Kong,Cantonese
7,Hong Kong,1,L'Envol,Hong Kong,French contemporary
8,Hong Kong,1,Ming Court (Mong Kok),Hong Kong,Cantonese
9,Hong Kong,1,Shang Palace,Hong Kong,Cantonese
10,Hong Kong,1,Summer Palace,Hong Kong,Cantonese
11,Hong Kong,1,Ryota Kappou Modern,Hong Kong,Japanese
12,Hong Kong,1,Belon,Hong Kong,French contemporary
13,Hong Kong,1,Guo Fu Lou,Hong Kong,Cantonese
14,Hong Kong,1,Imperial Treasure Fine Chinese Cuisine (Tsim Sha Tsui),Hong Kong,Cantonese
15,Hong Kong,1,Lei Garden (Mong Kok),Hong Kong,Cantonese
16,Hong Kong,1,Louise,Hong Kong,French contemporary
17,Hong Kong,1,Spring Moon,Hong Kong,Cantonese
18,Hong Kong,1,Yè Shanghai (Tsim Sha Tsui),Hong Kong,Shanghainese
19,Hong Kong,1,Arcane,Hong Kong,European contemporary
20,Hong Kong,1,Petrus,Hong Kong,French
21,Hong Kong,1,Mandarin Grill + Bar,Hong Kong,European contemporary
22,Hong Kong,1,Ah Yat Harbour View,Hong Kong,Cantonese
23,Hong Kong,1,Xin Rong Ji,Hong Kong,Taizhou
24,Hong Kong,1,Octavium,Hong Kong,Italian
25,Hong Kong,1,Loaf On,Hong Kong,Cantonese
26,Hong Kong,1,Roganic,Hong Kong,European contemporary
27,Hong Kong,1,Kam's Roast Goose,Hong Kong,Cantonese Roast Meats
28,Hong Kong,1,Fook Lam Moon (Wan Chai),Hong Kong,Cantonese
29,Hong Kong,1,Lei Garden (Kwun Tong),Hong Kong,Cantonese
30,Hong Kong,1,Yat Lok,Hong Kong,Cantonese Roast Meats
31,Hong Kong,1,Takumi by Daisuke Mori,Hong Kong,Innovative
32,Hong Kong,1,Yan Toh Heen,Hong Kong,Cantonese
33,Hong Kong,1,Rech,Hong Kong,Seafood
34,Hong Kong,1,Beefbar,Hong Kong,Steakhouse
35,Hong Kong,1,Jardin de Jade (Wan Chai),Hong Kong,Shanghainese
36,Hong Kong,1,Tosca di Angelo,Hong Kong,Italian
37,Hong Kong,1,Tate,Hong Kong,Innovative
38,Hong Kong,1,Zest by Konishi,Hong Kong,French contemporary
39,Hong Kong,1,Kaiseki Den by Saotome,Hong Kong,Japanese
40,Hong Kong,1,Sushi Wadatsumi,Hong Kong,Sushi
41,Hong Kong,1,Zhejiang Heen,Hong Kong,Zhejiang
42,Hong Kong,1,I M Teppanyaki & Wine,Hong Kong,Teppanyaki
43,Hong Kong,1,Ho Hung Kee (Causeway Bay),Hong Kong,Noodles and congee
44,Hong Kong,1,Celebrity Cuisine,Hong Kong,Cantonese
45,Hong Kong,1,Fu Ho,Hong Kong,Cantonese
46,Hong Kong,1,Tim Ho Wan (Sham Shui Po),Hong Kong,Dim Sum
47,Hong Kong,1,Aaharn,Hong Kong,Thai
48,Hong Kong,1,Gaddi's,Hong Kong,French
49,Hong Kong,1,Yat Tung Heen,Hong Kong,Cantonese
50,Hong Kong,1,Duddell's,Hong Kong,Cantonese
51,Hong Kong,2,Pierre,Hong Kong,French contemporary
52,Hong Kong,2,Kashiwaya,Hong Kong,Japanese
53,Hong Kong,2,Bo Innovation,Hong Kong,Innovative
54,Hong Kong,2,Sun Tung Lok,Hong Kong,Cantonese
55,Hong Kong,2,Écriture,Hong Kong,French contemporary
56,Hong Kong,2,Ying Jee Club,Hong Kong,Cantonese
57,Hong Kong,2,Amber,Hong Kong,French contemporary
58,Hong Kong,2,Sushi Saito,Hong Kong,Sushi
59,Hong Kong,2,Tin Lung Heen,Hong Kong,Cantonese
60,Hong Kong,2,Tenku RyuGin,Hong Kong,Japanese
61,Hong Kong,2,Ta Vie,Hong Kong,Innovative
62,Hong Kong,2,Arbor,Hong Kong,Innovative
63,Hong Kong,3,8 1/2 Otto e Mezzo - Bombana,Hong Kong,Italian
64,Hong Kong,3,T'ang Court,Hong Kong,Cantonese
65,Hong Kong,3,Sushi Shikon,Hong Kong,Sushi
66,Hong Kong,3,Caprice,Hong Kong,French contemporary
67,Hong Kong,3,Forum,Hong Kong,Cantonese
68,Hong Kong,3,Lung King Heen,Hong Kong,Cantonese
69,Hong Kong,3,L'Atelier de Joël Robuchon,Hong Kong,French contemporary
