,Country,no_of_stars,name,city,cuisine
0,Italy,1,Caracol,BACOLI,Modern cuisine
1,Italy,1,Villa Naj,Stradella,Modern cuisine
2,Italy,1,Umberto De Martino,San Paolo d'Argon,Mediterranean
3,Italy,1,Già Sotto l'Arco,CAROVIGNO,Creative
4,Italy,1,Arnaldo-Clinica Gastronomica,RUBIERA,Emilian
5,Italy,1,Il Palagio,Firenze,Modern cuisine
6,Italy,1,St. George by Heinz Beck,TAORMINA,Creative
7,Italy,1,Gardenia,CALUSO,Modern cuisine
8,Italy,1,Virtuoso - Tenuta le Tre Virtù,San Piero a Sieve,Tuscan
9,Italy,1,IT Milano,Milano,Contemporary
10,Italy,1,Colline Ciociare,ACUTO,Creative
11,Italy,1,Moma,Roma,Creative
12,Italy,1,Meo Modo,Chiusdino,Creative
13,Italy,1,Il Riccio,ANACAPRI,Campanian
14,Italy,1,Claudio,BERGEGGI,Seafood
15,Italy,1,Da Gorini,San Piero in Bagno,Modern cuisine
16,Italy,1,El Coq,Vicenza,Creative
17,Italy,1,Bacco,Barletta,Creative
18,Italy,1,Al Porticciolo 84,LECCO,Seafood
19,Italy,1,Contraste,Milano,Modern cuisine
20,Italy,1,D.One Restaurant,Montepagano,Modern cuisine
21,Italy,1,Il Cantuccio,ALBAVILLA,Modern cuisine
22,Italy,1,Apostelstube,Bressanone,Modern cuisine
23,Italy,1,Oseleta,Cavaion Veronese,Creative
24,Italy,1,Bistrot 64,Roma,Mediterranean
25,Italy,1,Pascucci al Porticciolo,Fiumicino,Seafood
26,Italy,1,Gucci Osteria da Massimo Bottura,Firenze,Modern cuisine
27,Italy,1,La Bottega del Buon Caffè,Firenze,Creative
28,Italy,1,Schöneck,MOLINI,Regional cuisine
29,Italy,1,Danilo Ciavattini,VITERBO,Creative
30,Italy,1,I Salotti,Chiusi,Creative
31,Italy,1,La Tenda Rossa,CERBAIA,Modern cuisine
32,Italy,1,Stube Hermitage,MADONNA DI CAMPIGLIO,Creative
33,Italy,1,Zash,Archi,Creative
34,Italy,1,La Stüa de Michil,Corvara in Badia/Kurfar,Modern cuisine
35,Italy,1,Lazzaro 1915,Pontelongo,Modern cuisine
36,Italy,1,La Rei,Serralunga d'Alba,Modern cuisine
37,Italy,1,Krèsios,Telese,Creative
38,Italy,1,Pashà,CONVERSANO,Modern cuisine
39,Italy,1,Anna Stuben,Ortisei/Sankt Ulrich,Creative
40,Italy,1,Cum Quibus,SAN GIMIGNANO,Creative
41,Italy,1,Il Tino,Fiumicino,Creative
42,Italy,1,Marconi,Sasso Marconi,Creative
43,Italy,1,Vintage 1997,Torino,Modern cuisine
44,Italy,1,Lux Lucis,FORTE DEI MARMI,Creative
45,Italy,1,Due Camini,SAVELLETRI,Modern cuisine
46,Italy,1,Silene,SEGGIANO,Tuscan
47,Italy,1,Ca' Matilde,Rubbianino,Modern cuisine
48,Italy,1,Damini Macelleria & Affini,Arzignano,Italian
49,Italy,1,Da Nadia,ERBUSCO,Seafood
50,Italy,1,Il Parco di Villa Grey,FORTE DEI MARMI,Modern cuisine
51,Italy,1,Spinechile,Schio,Creative
52,Italy,1,Joia,Milano,Vegetarian
53,Italy,1,San Martino,TREVIGLIO,Seafood
54,Italy,1,Il Pellicano,PORTO ERCOLE,Creative
55,Italy,1,La Présef,Mantello,Creative
56,Italy,1,I Pupi,Bagheria,Modern cuisine
57,Italy,1,Veritas,Napoli,Modern cuisine
58,Italy,1,Casin del Gamba,ALTISSIMO,Modern cuisine
59,Italy,1,Maxi,VICO EQUENSE,Creative
60,Italy,1,Lido 84,GARDONE RIVIERA,Creative
61,Italy,1,La Serra,POSITANO,Modern cuisine
62,Italy,1,L’Alchimia,Milano,Creative
63,Italy,1,Tano Passami l'Olio,Navigli,Creative
64,Italy,1,Locanda Margon,Ravina,Creative
65,Italy,1,Sadler,Milano,Creative
66,Italy,1,Tilia,Dobbiaco/Toblach,Modern cuisine
67,Italy,1,Osteria dell'Arborina,LA MORRA,Modern cuisine
68,Italy,1,Osteria di Passignano,Passignano,Modern cuisine
69,Italy,1,Aqua Crua,Barbarano Vicentino,Modern cuisine
70,Italy,1,Enoteca al Parlamento Achilli,Roma,Creative
71,Italy,1,Glicine,AMALFI,Mediterranean
72,Italy,1,La Zanzara,CODIGORO,Seafood
73,Italy,1,Gambero Rosso,MARINA DI GIOIOSA IONICA,Seafood
74,Italy,1,La Capinera,TAORMINA,Creative
75,Italy,1,Locanda di Orta,ORTA SAN GIULIO,Modern cuisine
76,Italy,1,Kuppelrain,Castelbello/Kastelbell,Modern cuisine
77,Italy,1,L'Asinello,Villa a Sesta,Modern cuisine
78,Italy,1,All'Oro,Roma,Creative
79,Italy,1,La Capanna di Eraclio,CODIGORO,Seafood
80,Italy,1,La Tuga,ISCHIA,Modern cuisine
81,Italy,1,Il Ridotto,Venezia,Creative
82,Italy,1,Locanda Severino,Caggiano,Modern cuisine
83,Italy,1,Zur Rose,San Michele/Sankt Michael,Modern cuisine
84,Italy,1,Josè Restaurant - Tenuta Villa Guerra,Torre del Greco,Mediterranean
85,Italy,1,Dolomieu,MADONNA DI CAMPIGLIO,Modern cuisine
86,Italy,1,Petit Royal,COURMAYEUR,Modern cuisine
87,Italy,1,Il Patio,POLLONE,Modern cuisine
88,Italy,1,12 Apostoli,Verona,Modern cuisine
89,Italy,1,Locanda San Lorenzo,PUOS D'ALPAGO,Modern cuisine
90,Italy,1,Qafiz,Santa Cristina d'Aspromonte,Modern cuisine
91,Italy,1,Cannavacciuolo Bistrot,Torino,Creative
92,Italy,1,La Tavola,Laveno,Modern cuisine
93,Italy,1,Al Metrò,SAN SALVO MARINA,Modern cuisine
94,Italy,1,Il Falconiere,SAN MARTINO,Tuscan
95,Italy,1,Il Gallo Cedrone,MADONNA DI CAMPIGLIO,Creative
96,Italy,1,Antica Osteria Nonna Rosa,VICO EQUENSE,Modern cuisine
97,Italy,1,Laite,SAPPADA,Regional cuisine
98,Italy,1,La Magnolia,FORTE DEI MARMI,Modern cuisine
99,Italy,1,La Fermata,Alessandria,Modern cuisine
100,Italy,1,Marc Lanteri Al Castello,GRINZANE CAVOUR,Modern cuisine
101,Italy,1,Innocenti Evasioni,Milano,Creative
102,Italy,1,Mistral,BELLAGIO,Modern cuisine
103,Italy,1,Lorenzo,FORTE DEI MARMI,Seafood
104,Italy,1,All'Enoteca,CANALE,Modern cuisine
105,Italy,1,Metamorfosi,Roma,Creative
106,Italy,1,Taverna del Capitano,Marina del Cantone,Creative
107,Italy,1,Le Colonne,CASERTA,Modern cuisine
108,Italy,1,Berton al Lago,TORNO,Creative
109,Italy,1,Malga Panna,MOENA,Country
110,Italy,1,Piazzetta Milù,CASTELLAMMARE DI STABIA,Creative
111,Italy,1,Tokuyoshi,Milano,Creative
112,Italy,1,Iacobucci,Castel Maggiore,Italian contemporary
113,Italy,1,Gellius,ODERZO,Modern cuisine
114,Italy,1,Antonella Ricci-Vinod Sookar,CEGLIE MESSAPICA,Apulian
115,Italy,1,Il Bavaglino,Terrasini,Creative
116,Italy,1,Viva Viviana Varese,Milano,Creative
117,Italy,1,Combal.zero,RIVOLI,Creative
118,Italy,1,Oasis-Sapori Antichi,VALLESACCARDA,Campanian
119,Italy,1,Giglio,LUCCA,Modern cuisine
120,Italy,1,LoRo,TRESCORE BALNEARIO,Creative
121,Italy,1,Cannavacciuolo Cafè & Bistrot,Novara,Modern cuisine
122,Italy,1,I Portici,Bologna,Creative
123,Italy,1,Osteria Altran,RUDA,Modern cuisine
124,Italy,1,Idylio by Apreda,Roma,Italian contemporary
125,Italy,1,Nido del Picchio,CARPANETO PIACENTINO,Modern cuisine
