,Country,no_of_stars,name,city,cuisine
0,Japan,1,Adachi Naoto,Tokyo,Japanese
1,Japan,1,Les Alchimistes,Tokyo,French
2,Japan,1,Aroma Fresca,Tokyo,Italian
3,Japan,1,Ishibashi,Tokyo,Unagi
4,Japan,1,Ishibashi,Tokyo,Sukiyaki
5,Japan,1,Shunnoaji Ichi,Tokyo,Japanese
6,Japan,1,Ichikawa,Tokyo,Sushi
7,Japan,1,Azabu Ichigo,Tokyo,Oden
8,Japan,1,Ginza Ichigo,Tokyo,Japanese
9,Japan,1,Sushi Isshin,Tokyo,Sushi
10,Japan,1,Izumi,Tokyo,Fugu
11,Japan,1,Imafuku,Tokyo,Sukiyaki
12,Japan,1,Yotsuya Uemura,Tokyo,Japanese
13,Japan,1,Kaiseki Ohara,Tokyo,Japanese
14,Japan,1,Ogasawara Hakushakutei,Tokyo,Spanish
15,Japan,1,Okina,Tokyo,Soba
16,Japan,1,Ginza Okuda,Tokyo,Japanese
17,Japan,1,Obana,Tokyo,Unagi
18,Japan,1,KM,Tokyo,French
19,Japan,1,Hananoren Kagura,Tokyo,Japanese
20,Japan,1,Sushi Kanesaka,Tokyo,Sushi
21,Japan,1,Nishiazabu Kikuchi,Tokyo,Japanese
22,Japan,1,Akasaka Kitafuku,Tokyo,Crab Specialitie
23,Japan,1,Kiraku,Tokyo,Sushi
24,Japan,1,The Crescent,Tokyo,French
25,Japan,1,Sushi Kuwano,Tokyo,Sushi
26,Japan,1,Ryoriya Kodama,Tokyo,Japanese
27,Japan,1,Shimbashi Sasada,Tokyo,Japanese
28,Japan,1,Chez Olivier,Tokyo,French
29,Japan,1,Signature,Tokyo,French
30,Japan,1,Shigeyoshi,Tokyo,Japanese
31,Japan,1,Les Chanterelles,Tokyo,French
32,Japan,1,Shunso,Tokyo,Japanese
33,Japan,1,Shokuzen Abe,Tokyo,Japanese
34,Japan,1,Nishiazabu Sushi Shin,Tokyo,Sushi
35,Japan,1,Zuisetsu,Tokyo,Chinese
36,Japan,1,Tsukiji Suzuki,Tokyo,Japanese
37,Japan,1,Kappo Suzuki,Tokyo,Japanese
38,Japan,1,Seika Kobayashi,Tokyo,Japanese
39,Japan,1,Seiju,Tokyo,Tempura
40,Japan,1,Sekihotei,Tokyo,Japanese
41,Japan,1,Sense,Tokyo,Chinese
42,Japan,1,Nishiazabu Taku,Tokyo,Sushi
43,Japan,1,Tagetsu,Tokyo,Japanese
44,Japan,1,Tateru Yoshino Ginza,Tokyo,French
45,Japan,1,Tapas Molecular Bar,Tokyo,Innovative
46,Japan,1,Tamawarai,Tokyo,Soba
47,Japan,1,Tenmasa,Tokyo,Japanese
48,Japan,1,Tour d'Argent,Tokyo,French
49,Japan,1,Ginza Toyoda,Tokyo,Japanese
50,Japan,1,Torishiki,Tokyo,Yakitori
51,Japan,1,Shinjuku Kappo Nakajima,Tokyo,Japanese
52,Japan,1,Nakasei Uchimise,Tokyo,Steakhouse
53,Japan,1,Sushi Nakamura,Tokyo,Sushi
54,Japan,1,Nodaiwa,Tokyo,Unagi
55,Japan,1,Asagaya Bird Land,Tokyo,Yakitori
56,Japan,1,Bird Land,Tokyo,Yakitori
57,Japan,1,Hamadaya,Tokyo,Japanese
58,Japan,1,Piatto Suzuki,Tokyo,Italian
59,Japan,1,Hiyama,Tokyo,Sukiyaki
60,Japan,1,Hirosaku,Tokyo,Japanese
61,Japan,1,Kyobashi Tempura Fukamachi,Tokyo,Tempura
62,Japan,1,Sushi Fukumoto,Tokyo,Sushi
63,Japan,1,Fushikino,Tokyo,Japanese
64,Japan,1,Bvlgari il Ristorante Luca Fantin,Tokyo,Italian
65,Japan,1,Chugoku Hanten Fureika,Tokyo,Chinese
66,Japan,1,Sobahouse Konjikihototogisu,Tokyo,Ramen
67,Japan,1,Ozashiki Tempura Mitsuta,Tokyo,Tempura
68,Japan,1,Maison Paul Bocuse,Tokyo,French
69,Japan,1,Tempura Motoyoshi,Tokyo,Tempura
70,Japan,1,L'Asse,Tokyo,Italian
71,Japan,1,Yakitori Ranjatai,Tokyo,Yakitori
72,Japan,1,Requinquer,Tokyo,French
73,Japan,1,Lugdunum Bouchon Lyonnais,Tokyo,French
74,Japan,1,Le Coq,Tokyo,French
75,Japan,1,Le Bourguignon,Tokyo,French
76,Japan,1,Regalo,Tokyo,Italian
77,Japan,1,Les Enfants Gâtés,Tokyo,French
78,Japan,1,Les Saisons,Tokyo,French
79,Japan,1,Ren,Tokyo,Japanese
80,Japan,1,Azabu Rokkaku,Tokyo,Izakaya
81,Japan,1,Lauburu,Tokyo,French
82,Japan,1,Waketokuyama,Tokyo,Japanese
83,Japan,1,Azure 45,Tokyo,French
84,Japan,1,Abysse,Tokyo,French
85,Japan,1,Ichita,Tokyo,Japanese
86,Japan,1,Ginza Kitafuku,Tokyo,Crab Specialitie
87,Japan,1,Oniku Karyu,Tokyo,Beef Specialities
88,Japan,1,Sosakumenkobo Nakiryu,Tokyo,Ramen
89,Japan,1,Azabujuban Fukuda,Tokyo,Japanese
90,Japan,1,Yamori,Tokyo,Soba
91,Japan,1,Le Sputnik,Tokyo,French
92,Japan,1,Sushi Arai,Tokyo,Sushi
93,Japan,1,Chugoku Hanten Kohakukyu (Amber Palace),Tokyo,Chinese
94,Japan,1,L'Orgueil,Tokyo,French
95,Japan,1,Craftale,Tokyo,French
96,Japan,1,Kurosaki,Tokyo,Sushi
97,Japan,1,Ciel et Sol,Tokyo,French
98,Japan,1,Nogizaka Shin,Tokyo,Japanese
99,Japan,1,Nihombashi-kakigaracho Sugita,Tokyo,Sushi
100,Japan,1,Sublime,Tokyo,Innovative
101,Japan,1,Tacubo,Tokyo,Italian
102,Japan,1,Ristorante Honda,Tokyo,Italian
103,Japan,1,Argile,Tokyo,French
104,Japan,1,Azumaya,Tokyo,Japanese
105,Japan,1,Oryori Tsuji,Tokyo,Japanese
106,Japan,1,Ginza Ishizaki,Tokyo,Beef Specialities
107,Japan,1,Crony,Tokyo,French
108,Japan,1,Shiorian Yamashiro,Tokyo,Japanese
109,Japan,1,Sushiya Ichiyanagi,Tokyo,Sushi
110,Japan,1,Sushi Yu,Tokyo,Sushi
111,Japan,1,Nanachome,Tokyo,Yakitori
112,Japan,1,Heinz Beck,Tokyo,Italian
113,Japan,1,Principio,Tokyo,Italian
114,Japan,1,Bottega,Tokyo,Italian
115,Japan,1,Mimosa,Tokyo,Chinese
116,Japan,1,Lature,Tokyo,French
117,Japan,1,La Paix,Tokyo,French
118,Japan,1,Reikasai Ginza,Tokyo,Chinese
119,Japan,1,L'Aube,Tokyo,French
120,Japan,1,Akebonobashi Marutomi,Tokyo,Japanese
121,Japan,1,Arakicho Tatsuya,Tokyo,Japanese
122,Japan,1,L'Algorithme,Tokyo,French
123,Japan,1,Edomae Shinsaku,Tokyo,Tempura
124,Japan,1,Ode,Tokyo,French
125,Japan,1,Ginza Yamanobe Edo-Chuka,Tokyo,Chinese
126,Japan,1,Ginza Rin Nishimura,Tokyo,Sushi
127,Japan,1,Kutan,Tokyo,Japanese
128,Japan,1,Shichubo Yung,Tokyo,Chinese
129,Japan,1,Jo,Tokyo,Beef Specialities
130,Japan,1,Sincère,Tokyo,French
131,Japan,1,Sushi Keita,Tokyo,Sushi
132,Japan,1,Sushi Takamitsu,Tokyo,Sushi
133,Japan,1,Sushi Matsumoto,Tokyo,Sushi
134,Japan,1,Sumibikappo Shirosaka,Tokyo,Japanese
135,Japan,1,Takumi,Tokyo,French
136,Japan,1,Tanimoto,Tokyo,Japanese
137,Japan,1,Tempura Shimomura,Tokyo,Tempura
138,Japan,1,Tempura Maehira,Tokyo,Tempura
139,Japan,1,Nagumo,Tokyo,Japanese
140,Japan,1,Nanakusa,Tokyo,Japanese
141,Japan,1,Nihombashi Sonoji,Tokyo,Tempura
142,Japan,1,Fudomae Sushi Iwasawa,Tokyo,Sushi
143,Japan,1,Yaoyu,Tokyo,French
144,Japan,1,Yamazaki,Tokyo,Japanese
145,Japan,1,La Clairière,Tokyo,French
146,Japan,1,L'Embellir,Tokyo,French
147,Japan,1,Recte,Tokyo,French
148,Japan,1,AkiyamaNEW,Tokyo,Japanese
149,Japan,1,Asahina GastronomeNEW,Tokyo,French
150,Japan,1,Alter EgoNEW,Tokyo,Italian
151,Japan,1,Kagurazaka AbeNEW,Tokyo,Japanese
152,Japan,1,Kasumicho YamagamiNEW,Tokyo,Japanese
153,Japan,1,Ginza FujiyamaNEW,Tokyo,Japanese
154,Japan,1,SimplicitéNEW,Tokyo,French
155,Japan,1,SioNEW,Tokyo,French
156,Japan,1,JizozushiNEW,Tokyo,Sushi
157,Japan,1,Jukuseizushi YorozuNEW,Tokyo,Sushi
158,Japan,1,Shunkeian ArakakiNEW,Tokyo,Tempura
159,Japan,1,Sushi HashimotoNEW,Tokyo,Sushi
160,Japan,1,Takagakino SushiNEW,Tokyo,Sushi
161,Japan,1,Takumi Sushi OwanaNEW,Tokyo,Sushi
162,Japan,1,TenoshimaNEW,Tokyo,Japanese
163,Japan,1,Tempura MiyashiroNEW,Tokyo,Tempura
164,Japan,1,TowaNEW,Tokyo,Japanese
165,Japan,1,Yakitori OminoNEW,Tokyo,Yakitori
166,Japan,1,L'AffinageNEW,Tokyo,French
0,Japan,2,Usukifugu Yamadaya,Tokyo,Fugu
1,Japan,2,Tentempura Uchitsu,Tokyo,Tempura
2,Japan,2,Esquisse,Tokyo,French
3,Japan,2,Édition Koji Shimomura,Tokyo,French
4,Japan,2,Okamoto,Tokyo,Japanese
5,Japan,2,Hommage,Tokyo,French
6,Japan,2,Akasaka Kikunoi,Tokyo,Japanese
7,Japan,2,Sushi Kimura,Tokyo,Sushi
8,Japan,2,Tempura Ginya,Tokyo,Tempura
9,Japan,2,Ginza Koju,Tokyo,Japanese
10,Japan,2,Kaiseki Komuro,Tokyo,Japanese
11,Japan,2,Goryukubo,Tokyo,Japanese
12,Japan,2,Tempura Kondo,Tokyo,Tempura
13,Japan,2,Sawada,Tokyo,Sushi
14,Japan,2,Sant Pau,Tokyo,Spanish
15,Japan,2,Jushu,Tokyo,Japanese
16,Japan,2,Sukiyabashi Jiro Roppongiten,Tokyo,Sushi
17,Japan,2,Zurriola,Tokyo,Spanish
18,Japan,2,Seizan,Tokyo,Japanese
19,Japan,2,Seisoka,Tokyo,Japanese
20,Japan,2,Daigo,Tokyo,Shojin
21,Japan,2,Kaiseki Tsujitome,Tokyo,Japanese
22,Japan,2,Narisawa,Tokyo,Innovative
23,Japan,2,Hatsunezushi,Tokyo,Sushi
24,Japan,2,Pierre Gagnaire,Tokyo,French
25,Japan,2,Higuchi,Tokyo,Japanese
26,Japan,2,Ginza Fukuju,Tokyo,Japanese
27,Japan,2,Kioicho Fukudaya,Tokyo,Japanese
28,Japan,2,Beige Alain Ducasse,Tokyo,French
29,Japan,2,Mitamachi Momonoki,Tokyo,Chinese
30,Japan,2,Yunke,Tokyo,Korean
31,Japan,2,La Table de Joël Robuchon,Tokyo,French
32,Japan,2,L'Atelier de Joël Robuchon,Tokyo,French
33,Japan,2,Ryuzu,Tokyo,French
34,Japan,2,Le Mange-Tout,Tokyo,French
35,Japan,2,L'Effervescence,Tokyo,French
36,Japan,2,Dominique Bouchet,Tokyo,French
37,Japan,2,Florilège,Tokyo,French
38,Japan,2,Higashiazabu Amamoto,Tokyo,Sushi
39,Japan,2,Nabeno-Ism,Tokyo,French
40,Japan,2,Harutaka,Tokyo,Sushi
41,Japan,2,Oryori Miyasaka,Tokyo,Japanese
42,Japan,2,Ginza ShinoharaRestaurant promoted from 1 to 2 stars or 2 to 3 stars,Tokyo,Japanese
43,Japan,2,Sazenka,Tokyo,Chinese
44,Japan,2,Den,Tokyo,Innovative
45,Japan,2,PrismaRestaurant promoted from 1 to 2 stars or 2 to 3 stars,Tokyo,Italian
46,Japan,2,Kobikicho Tomoki,Tokyo,Sushi
47,Japan,2,InuaNEW,Tokyo,Innovative
0,Japan,3,Kagurazaka Ishikawa,Tokyo,Japanese
1,Japan,3,KadowakiRestaurant promoted from 1 to 2 stars or 2 to 3 stars,Tokyo,Japanese
2,Japan,3,Kanda,Tokyo,Japanese
3,Japan,3,Quintessence,Tokyo,French
4,Japan,3,Kohaku,Tokyo,Japanese
