,Country,no_of_stars,name,city
0,Netherlands,1,Kaatje bij de Sluis,"Brouwerstraat 20, 8356 DV Blokzijl"
1,Netherlands,1,Derozario,"Steenweg 8, 5707 CG Helmond"
2,Netherlands,1,De Karpendonkse Hoeve,"Sumatralaan 3, 5631 AA Eindhoven"
3,Netherlands,1,Wollerich,"Heuvel 23, 5492 AC Sint-Oedenrode"
4,Netherlands,1,Basiliek,"Vischmarkt 57 L, 3841 BE Harderwijk"
5,Netherlands,1,RIJKS®,"Museumstraat 2, 1077 XX Amsterdam"
6,Netherlands,1,ONE,"ECI 17, 6041 MA Roermond"
7,Netherlands,1,Het Koetshuis,"Panoramaweg 23a, 6721 MK Bennekom"
8,Netherlands,1,De Heer Kocken,"Taalstraat 173, 5261 BD Vught"
9,Netherlands,1,De Leuf,"Dalstraat 2, 6367 JS Ubachsberg"
10,Netherlands,1,Lastage,"Geldersekade 29, 1011 EJ Amsterdam"
11,Netherlands,1,FG Food Labs,"Katshoek 41, 3032 AE Rotterdam"
12,Netherlands,1,'t Vlasbloemeken,"Nieuwstraat 8, 4576 AL Koewacht"
13,Netherlands,1,Rijnzicht,"Sterreschans 15, 6686 MS Doornenburg"
14,Netherlands,1,Eden,"Eindhovenseweg 115, 5552 AA Valkenswaard"
15,Netherlands,1,Wiesen,"Kleine Berg 10, 5611 JV Eindhoven"
16,Netherlands,1,Spetters,"Kaai 5, 4511 RC Breskens"
17,Netherlands,1,De Burgemeester,"Raadhuisstraat 17, 3461 CW Linschoten"
18,Netherlands,1,Merlet,"Duinweg 15, 1871 AC Schoorl"
19,Netherlands,1,Cheval Blanc,"Jan van Goyenstraat 29, 2102 CA Heemstede"
20,Netherlands,1,Olivijn,"Kleine Houtstraat 70, 2011 DR Haarlem"
21,Netherlands,1,RON Gastrobar,"Sophialaan 55, 1075 BP Amsterdam"
22,Netherlands,1,Bord'Eau,"Nieuwe Doelenstraat 2, 1012 CP Amsterdam"
23,Netherlands,1,The Millèn,"Weena 686, Rotterdam"
24,Netherlands,1,De Vlindertuin,"Stationsweg 41, 9471 GK Zuidlaren"
25,Netherlands,1,Voltaire,"Broekhuizerlaan 2, 3956 Leersum"
26,Netherlands,1,Versaen,"Marktstraat 19, 5371 AC Ravenstein"
27,Netherlands,1,Sense,"Jeroen Boschplein 6, 5211 HX 's-Hertogenbosch"
28,Netherlands,1,'t Raedthuys,"Rijksweg 51, 6921 AC Duiven"
29,Netherlands,1,Brienen aan de Maas,"Grotestraat 11, 5855 AK Well"
30,Netherlands,1,'t Lansink,"C.T. Storkstraat 18, 7553 AR Hengelo"
31,Netherlands,1,De Heeren van Harinxma,"Van Harinxmaweg 10, 9244 CJ Beetsterzwaag"
32,Netherlands,1,Perceel,"Dorpsstraat 3, 2902 BC Capelle aan den IJssel"
33,Netherlands,1,Sinne,"Ceintuurbaan 342, 1072 GP Amsterdam"
34,Netherlands,1,Mijn Keuken,"Markt 1, 4724 BK Wouw"
35,Netherlands,1,Mijn Keuken,"Markt 1, 4724 BK Wouw"
36,Netherlands,1,De Kromme Dissel,"Klein Zwitserlandlaan 5, 6866 DS Heelsum"
37,Netherlands,1,De Kromme Dissel,"Klein Zwitserlandlaan 5, 6866 DS Heelsum"
38,Netherlands,1,Zout & Citroen,"Ridderstraat 86, 4902 AC Oosterhout"
39,Netherlands,1,Zout & Citroen,"Ridderstraat 86, 4902 AC Oosterhout"
40,Netherlands,1,De Swarte Ruijter,"Holterbergweg 7, 7451 JL Holten"
41,Netherlands,1,De Swarte Ruijter,"Holterbergweg 7, 7451 JL Holten"
42,Netherlands,1,Noble Kitchen,"Deutersestraat 39B, 5266 AW Cromvoirt"
43,Netherlands,1,Noble Kitchen,"Deutersestraat 39B, 5266 AW Cromvoirt"
44,Netherlands,1,Posthoorn,"Noordeinde 43, 1141 AG Monnickendam"
45,Netherlands,1,Posthoorn,"Noordeinde 43, 1141 AG Monnickendam"
46,Netherlands,1,Apicius,"Van der Mijleweg 16, 1901 KD Castricum"
47,Netherlands,1,Apicius,"Van der Mijleweg 16, 1901 KD Castricum"
48,Netherlands,1,Flicka,"Berm 47, 5331 KL Kerkdriel"
49,Netherlands,1,Flicka,"Berm 47, 5331 KL Kerkdriel"
