name,year,city,Country,cuisine
Kilian Stuba,2020,Kleinwalsertal,Austria,Creative
Pfefferschiff,2020,Hallwang,Austria,Classic cuisine
Esszimmer,2020,Salzburg,Austria,Creative
Carpe Diem,2020,Salzburg,Austria,Market cuisine
Edvard,2020,Wien,Austria,Modern cuisine
Das Loft,2020,Wien,Austria,Modern cuisine
Pramerl & the Wolf,2020,Wien,Austria,Creative
Walter Bauer,2020,Wien,Austria,Classic cuisine
SHIKI,2020,Wien,Austria,Japanese
Tian,2020,Wien,Austria,Vegetarian
aend,2020,Wien,Austria,Modern cuisine
Le Ciel by Toni Mörwald,2020,Wien,Austria,Classic cuisine
Monte,2020,Rovinj,Croatia,Creative
Draga di Lovrana,2020,Lovran,Croatia,Modern cuisine
Noel,2020,Zagreb,Croatia,Modern cuisine
Pelegrini,2020,Šibenik,Croatia,Modern cuisine
360º,2020,Dubrovnik,Croatia,Modern cuisine
Field,2020,Praha,Czech Republic,Modern cuisine
La Degustation Bohême Bourgeoise,2020,Praha,Czech Republic,Modern cuisine
Gastromé,2020,Aarhus,Denmark,Modern cuisine
Domestic,2020,Aarhus,Denmark,Modern cuisine
Substans,2020,Aarhus,Denmark,Modern cuisine
Frederikshøj,2020,Aarhus,Denmark,Creative
Me‚Mu,2020,Vejle,Denmark,Modern cuisine
Ti Trin Ned,2020,Fredericia,Denmark,Modern cuisine
"Dragsholm Slot Gourmet
",2020,Hørve,Denmark,Creative
Søllerød Kro,2020,København,Denmark,Modern cuisine
Jordnær,2020,København,Denmark,Danish
Relæ,2020,København,Denmark,Modern cuisine
Kiin Kiin,2020,København,Denmark,Thai
formel B,2020,København,Denmark,Modern cuisine
Kokkeriet,2020,København,Denmark,Modern cuisine
Clou,2020,København,Denmark,Modern cuisine
Marchal,2020,København,Denmark,Modern cuisine
Kong Hans Kælder,2020,København,Denmark,Classic French
Stud!o at The Standard,2020,København,Denmark,Creative
108,2020,København,Denmark,Modern cuisine
Era Ora,2020,København,Denmark,Italian
Alouette,2020,København,Denmark,Modern cuisine
Frederiksminde,2020,Præstø,Denmark,Creative
Kadeau Bornholm,2020,Pedersker,Denmark,Creative
Ask,2020,Helsingfors / Helsinki,Finland,Modern cuisine
Grön,2020,Helsingfors / Helsinki,Finland,Finnish
Demo,2020,Helsingfors / Helsinki,Finland,Modern cuisine
Olo,2020,Helsingfors / Helsinki,Finland,Modern cuisine
Palace,2020,Helsingfors / Helsinki,Finland,Modern cuisine
Ora,2020,Helsingfors / Helsinki,Finland,Modern cuisine
Botrini's,2020,Athína,Greece,Mediterranean
Varoulko Seaside,2020,Athína,Greece,Seafood
Hytra,2020,Athína,Greece,Modern cuisine
Costes Downtown,2020,Budapest,Hungary,Modern cuisine
Borkonyha Winekitchen,2020,Budapest,Hungary,Modern cuisine
Stand,2020,Budapest,Hungary,Modern cuisine
Babel,2020,Budapest,Hungary,Modern cuisine
