,Country,no_of_stars,name,city
0,Portugal,1,Midori,2714-511 Sintra
1,Portugal,1,Fifty Seconds,"Cais das Naus, Lote 2.21.01 (Parque das Nações), 1990-173 Lisboa"
2,Portugal,1,Eleven,"Rua Marquês de Fronteira, 1070-051 Lisboa"
3,Portugal,1,Vista,"Avenida Tomás Cabreira, 8500-802 Portimão"
4,Portugal,1,Bon Bon,"Estrada de Sesmarias - Urbanização Cabeço de Pias, 8400-525 Lagoa"
5,Portugal,1,Vistas,"Sitio de Pocinho-Sesmarias (Monte Rei Golf &amp; Country Club), 8900-907 Vila Nova de Cacela"
6,Portugal,1,Loco,"Rua dos Navegantes 53 B, 1200-731 Lisboa"
7,Portugal,1,Antiqvvm,"Rua de Entre Quintas 220, 4050-240 Porto"
8,Portugal,1,Fortaleza do Guincho,"Praia do Guincho, 2750-642 Praia do Guincho"
9,Portugal,1,William,"Estrada Monumental 139, 9000-098 Funchal"
10,Portugal,1,EPUR,"Largo da Academia Nacional De Belas Artes 14, 1200-005 Lisboa"
11,Portugal,1,A Cozinha,"Largo do Serralho 4, 4800-472 Guimarães"
12,Portugal,1,Mesa de Lemos,"Quinta de Lemos, 3500-541 Passos de Silgueiros"
13,Portugal,1,Pedro Lemos,"Rua do Padre Luis Cabral 974, 4150-459 Foz do Douro"
14,Portugal,1,Largo do Paço,"Largo do Paço 6, 4600-017 Amarante"
15,Portugal,1,G Pousada,"Estrada de Turismo, 5300-271 Bragança"
16,Portugal,1,Gusto,"Estrada de Vale do Lobo a Quinta do Lago, 5,5 km, 8135-106 Almancil"
17,Portugal,1,Lab by Sergi Arola,2714-511 Sintra
18,Portugal,1,São Gabriel,"Estrada de Vale do Lobo a Quinta do Lago, 4 km, 8135-106 Almancil"
19,Portugal,1,Feitoria,"Doca do Bom Sucesso, 1400-038 Lisboa"
20,Portugal,2,The Yeatman,"Rua do Choupelo (Santa Marinha), 4400-088 Vila Nova de Gaia"
21,Portugal,2,Belcanto,"Largo de São Carlos 10, 1200-410 Lisboa"
22,Portugal,2,Il Gallo d'Oro,"Estrada Monumental 147, 9004-532 Funchal"
23,Portugal,2,Casa de Chá da Boa Nova,"Avenida da Liberdade (junto ao farol), 4450-705 Leça da Palmeira"
24,Portugal,2,Ocean,"Alporchinhos, 8400-450 Porches"
25,Portugal,2,Alma,"Rua Anchieta 15, 1200-023 Lisboa"
26,Portugal,2,Vila Joya,"Estrada da Praia da Galé, 8201-917 Albufeira"
