,Country,no_of_stars,name,city,cuisine
0,Singapore,1,Vianney Massot,Singapore,French contemporary
1,Singapore,1,Table65,Singapore,European contemporary
2,Singapore,1,Meta,Singapore,Innovative
3,Singapore,1,Lerouy,Singapore,French contemporary
4,Singapore,1,Jag,Singapore,French contemporary
5,Singapore,1,Cheek Bistro,Singapore,Australian contemporary
6,Singapore,1,Basque Kitchen by Aitor,Singapore,Basque contemporary
7,Singapore,1,Ma Cuisine,Singapore,French
8,Singapore,1,Sushi Kimura,Singapore,Sushi
9,Singapore,1,Nouri,Singapore,Innovative
10,Singapore,1,Chef Kang's,Singapore,Cantonese
11,Singapore,1,Braci,Singapore,Italian contemporary
12,Singapore,1,Hawker Chan,Singapore,Street Food
13,Singapore,1,Hill Street Tai Hwa Pork Noodle,Singapore,Street Food
14,Singapore,1,The Song of India,Singapore,Indian
15,Singapore,1,Terra,Singapore,Italian contemporary
16,Singapore,1,Sushi Ichi,Singapore,Sushi
17,Singapore,1,Summer Pavillion,Singapore,Cantonese
18,Singapore,1,Summer Palace,Singapore,Cantonese
19,Singapore,1,Shinji (Tanglin Road),Singapore,Sushi
20,Singapore,1,Shinji (Bras Basah Road),Singapore,Sushi
21,Singapore,1,Rhubarb,Singapore,French contemporary
22,Singapore,1,Putien (Kitchener Road),Singapore,Fujian
23,Singapore,1,Lei Garden,Singapore,Cantonese
24,Singapore,1,Labyrinth,Singapore,Innovative
25,Singapore,1,Jiang-Nan Chun,Singapore,Cantonese
26,Singapore,1,Jaan by Kirk Westaway,Singapore,British contemporary
27,Singapore,1,Imperial Treasure Fine Teochew Cuisine (Orchard),Singapore,Teochew
28,Singapore,1,Iggy's,Singapore,European contemporary
29,Singapore,1,Garibaldi,Singapore,Italian
30,Singapore,1,Cut,Singapore,Steakhouse
31,Singapore,1,Corner House,Singapore,Innovative
32,Singapore,1,Candlenut,Singapore,Peranakan
33,Singapore,1,Burnt Ends,Singapore,Barbecue
34,Singapore,1,Buona Terra,Singapore,Italian contemporary
35,Singapore,1,Béni,Singapore,French contemporary
36,Singapore,1,Alma,Singapore,European contemporary
37,Singapore,2,Zén,Singapore,European contemporary
38,Singapore,2,Waku Ghin,Singapore,Japanese contemporary
39,Singapore,2,Shoukouwa,Singapore,Sushi
40,Singapore,2,Shisen Hanten,Singapore,Cantonese-Sichuan
41,Singapore,2,Saint Pierre,Singapore,French contemporary
42,Singapore,3,Odette,Singapore,French contemporary
43,Singapore,3,Les Amis,Singapore,French
