,Country,no_of_stars,name,city,cuisine
0,South Korea,1,Pierre Gagnaire,Seoul,French contemporary
1,South Korea,1,Onjium,Seoul,Korean
2,South Korea,1,Evett,Seoul,Innovative
3,South Korea,1,Votre Maison,Seoul,French
4,South Korea,1,Myomi,Seoul,Korean contemporary
5,South Korea,1,Hansikgonggan,Seoul,Korean
6,South Korea,1,Muoki,Seoul,Innovative
7,South Korea,1,Exquisine,Seoul,Innovative
8,South Korea,1,Auprès,Seoul,French contemporary
9,South Korea,1,STAY,Seoul,French contemporary
10,South Korea,1,Terreno,Seoul,Spanish
11,South Korea,1,Zero Complex,Seoul,Innovative
12,South Korea,1,Yu Yuan,Seoul,Chinese
13,South Korea,1,Table for Four,Seoul,European contemporary
14,South Korea,1,Soigné,Seoul,Innovative
15,South Korea,1,Poom,Seoul,Korean
16,South Korea,1,L'Amitié,Seoul,French
17,South Korea,1,Joo Ok,Seoul,Korean contemporary
18,South Korea,1,Gotgan,Seoul,Korean
19,South Korea,1,Dosa,Seoul,Innovative
20,South Korea,1,Dining in Space,Seoul,French contemporary
21,South Korea,1,Bicena,Seoul,Korean
22,South Korea,2,L'Impression,Seoul,Innovative
23,South Korea,2,Mosu,Seoul,Innovative
24,South Korea,2,Mingles,Seoul,Korean contemporary
25,South Korea,2,Kwonsooksoo,Seoul,Korean
26,South Korea,2,Kojima,Seoul,Sushi
27,South Korea,2,Jungsik,Seoul,Korean contemporary
28,South Korea,2,Alla Prima,Seoul,Innovative
29,South Korea,3,La Yeon,Seoul,Korean
30,South Korea,3,Gaon,Seoul,Korean
