,Country,no_of_stars,name,city,cuisine
0,Spain,1,Maruja Limón,Vigo,Creative
1,Spain,1,Ca l'Arpa,Banyoles,Traditional cuisine
2,Spain,1,Les Moles,Ulldecona,Modern cuisine
3,Spain,1,Rincón de Diego,Cambrils,Traditional cuisine
4,Spain,1,Acánthum,Huelva,Modern cuisine
5,Spain,1,Estany Clar,Berga,Modern cuisine
6,Spain,1,Hoja Santa,Barcelona,Mexican
7,Spain,1,Ola Martín Berasategui,Bilbao,Contemporary
8,Spain,1,Ikaro,Logroño,Creative
9,Spain,1,El Invernadero,Madrid,Modern cuisine
10,Spain,1,Cinc Sentits,Barcelona,Creative
11,Spain,1,99 KŌ sushi bar,Madrid,Japanese
12,Spain,1,La Fonda Xesc,Gombrèn,Modern cuisine
13,Spain,1,Tickets,Barcelona,Creative
14,Spain,1,Solla,San Salvador de Poio,Creative
15,Spain,1,Enigma,Barcelona,Creative
16,Spain,1,El Rincón de Juan Carlos,Los Gigantes,Creative
17,Spain,1,La Prensa,Zaragoza,Creative
18,Spain,1,Tresmacarrons,El Masnou,Modern cuisine
19,Spain,1,Andra Mari,La Cruz,Traditional cuisine
20,Spain,1,Punto MX,Retiro,Mexican
21,Spain,1,El Ermitaño,Benavente,Traditional cuisine
22,Spain,1,Messina,Marbella,Creative
23,Spain,1,Zarate,Bilbao,Traditional cuisine
24,Spain,1,Retiro da Costiña,Santa Comba,Modern cuisine
25,Spain,1,El Corral del Indianu,Arriondas,Creative
26,Spain,1,Cobo Vintage,Burgos,Modern cuisine
27,Spain,1,Marc Fosh,Palma,Modern cuisine
28,Spain,1,Audrey's by Rafa Soler,Calp,Creative
29,Spain,1,El Serbal,Santander,Traditional cuisine
30,Spain,1,Taller,Quintanilla de Onésimo,Creative
31,Spain,1,El Bohío,Illescas,Modern cuisine
32,Spain,1,Hospedería El Batán,Tramacastilla,Modern cuisine
33,Spain,1,Maca de Castro,Port d'Alcúdia,Creative
34,Spain,1,Cocinandos,León,Modern cuisine
35,Spain,1,Massana,Girona,Modern cuisine
36,Spain,1,Álbora,Retiro,Modern cuisine
37,Spain,1,La Aquarela,Patalavaca,Creative
38,Spain,1,Kabuki,Tetuán,Japanese
39,Spain,1,Lillas Pastia,Huesca,Modern cuisine
40,Spain,1,Lluerna,Santa Coloma de Gramenet,Modern cuisine
41,Spain,1,El Xato,La Nucia,Creative
42,Spain,1,Oria,Barcelona,Modern cuisine
43,Spain,1,La Finca,Elche/Elx,Creative
44,Spain,1,El Retiro,Llanes,Modern cuisine
45,Spain,1,Alkimia,Barcelona,Modern cuisine
46,Spain,1,Abantal,Sevilla,Creative
47,Spain,1,Koy Shunka,La Barceloneta,Japanese
48,Spain,1,Aürt,Barcelona,Modern cuisine
49,Spain,1,Etxebarri,Axpe,Traditional cuisine
50,Spain,1,Casa Marcelo,Santiago de Compostela,Fusion
51,Spain,1,La Boscana,Bellvís,Creative
52,Spain,1,Mina,Bilbao,Creative
53,Spain,1,Boroa,Boroa,Traditional cuisine
54,Spain,1,Deliranto,Salou,Creative
55,Spain,1,Choco,Córdoba,Creative
56,Spain,1,Zortziko,Bilbao,Classic cuisine
57,Spain,1,L'Antic Molí,Ulldecona,Modern cuisine
58,Spain,1,La Tasquería,Retiro,Modern cuisine
59,Spain,1,La Bicicleta,Hoznayo,Modern cuisine
60,Spain,1,Auga,Gijón,Modern cuisine
61,Spain,1,Tatau,Huesca,Creative
62,Spain,1,Real Balneario,Salinas,Traditional cuisine
63,Spain,1,Es Tragón,Sant Antoni de Portmany,Creative
64,Spain,1,Caelis,La Barceloneta,Creative
