,Country,no_of_stars,name,city
0,Switzerland,1,roots,"Mühlhauserstr. 17, 4056 Basel"
1,Switzerland,1,Talvo By Dalsass,"Via Gunels 15, 7512 Champfèr"
2,Switzerland,1,Regina Montium,"Staffelhöhenweg 61, 6356 Rigi Kaltbad"
3,Switzerland,1,Gasthaus Zur Fernsicht - Incantare,"Seeallee 10, 9410 Heiden"
4,Switzerland,1,Le Berceau des Sens,"Route de Cojonnex 18, 1000 Lausanne 25"
5,Switzerland,1,Segreto,"Abacus Platz 1, 9301 Wittenbach"
6,Switzerland,1,Il Lago,"Quai des Bergues 33, 1201 Genève"
7,Switzerland,1,Mammertsberg,"Bahnhofstr. 28, 9306 Freidorf"
8,Switzerland,1,Auberge du Lion d'Or,"Place Pierre-Gautier 5, 1223 Cologny"
9,Switzerland,1,La Chaumière by Serge Labrosse-La Table du 7,"Chemin de la Fondelle 16, 1256 Troinex"
10,Switzerland,1,Sihlhalde,"Sihlhaldenstr. 70, 8136 Gattikon"
11,Switzerland,1,Du Cerf,"Rue du Collège 4, 2605 Sonceboz"
12,Switzerland,1,Les Saisons,"Rue d'Italie 1, 1800 Vevey"
13,Switzerland,1,mesa,"Weinbergstr. 75, 8006 Zürich"
14,Switzerland,1,Auberge de la Croix Blanche,"Route de Donatyre 22, 1583 Villarepos"
15,Switzerland,1,Truube,"Rotenwies 9, 9056 Gais"
16,Switzerland,1,Les Trois Couronnes,"Rue d'Italie 49, 1800 Vevey"
17,Switzerland,1,Löwen - Apriori,"Wolfhauserstr. 2, 8608 Bubikon"
18,Switzerland,1,Bayview,"Quai Wilson 47, 1211 Genève"
19,Switzerland,1,MEGU,"Alpinastr. 23, 3780 Gstaad"
20,Switzerland,1,Martin,"Hauptstr. 94, 4112 Flüh"
21,Switzerland,1,Neue Blumenau,"Romanshornerstr. 2, 9308 Lömmenschwil"
22,Switzerland,1,La Maison du Village,"Rue de la Fontanette 41, 2026 Sauges"
23,Switzerland,1,Le Bocca,"Avenue Bachelin 11, 2072 Saint-Blaise"
24,Switzerland,1,Adler Hurden,"Hurdnerstr. 143, 8640 Rapperswil"
25,Switzerland,1,La Régence-Balavaud,"Route Cantonale 267, 1963 Vétroz"
26,Switzerland,1,Osteria TRE,"Kantonsstr. 3, 4416 Bubendorf"
27,Switzerland,1,Seerestaurant Belvédère,"Seestr. 18a, 6052 HERGISWIL"
28,Switzerland,1,Le Cigalon,"Route d'Ambilly 39, 1226 Thônex"
29,Switzerland,1,Des Trois Tours,"Route de Bourguillon 15, 1722 Bourguillon"
30,Switzerland,1,Panorama - Cayenne,"Hartlisbergstr. 39, 3612 Steffisburg-Station"
31,Switzerland,1,Krone - Tredecim,"Sihlbrugg 4, 8816 Hirzel"
32,Switzerland,1,Café Berra,"Place de l'École 1, 1871 Choëx"
33,Switzerland,1,Die Rose,"Dorfstr. 42, 8803 Rüschlikon"
