,Country,no_of_stars,name,city,cuisine
0,UK,1,Olive Tree,Bath,Modern cuisine
1,UK,1,Brat,Shoreditch,Traditional British
2,UK,1,The Neptune,Hunstanton,Modern cuisine
3,UK,1,The Cellar,Anstruther,Modern cuisine
4,UK,1,The Man Behind The Curtain,Leeds,Creative
5,UK,1,L'Ortolan,Shinfield,Modern French
6,UK,1,Seven Park Place,Saint James's,Modern cuisine
7,UK,1,The Cross at Kenilworth,Kenilworth,Classic cuisine
8,UK,1,Da Terra,London,Modern cuisine
9,UK,1,The Ninth,Bloomsbury,Mediterranean
10,UK,1,Chez Bruce,Wandsworth,French
11,UK,1,Sosban & The Old Butchers,Menai Bridge/Porthaethwy,Modern cuisine
12,UK,1,Clock House,Ripley,Modern cuisine
13,UK,1,Le Champignon Sauvage,Cheltenham,Modern cuisine
14,UK,1,Opheem,Birmingham,Indian
15,UK,1,Matt Worswick at The Latymer,Bagshot,Modern cuisine
16,UK,1,Lympstone Manor,Lympstone,Modern cuisine
17,UK,1,The Whitebrook,Whitebrook,Creative British
18,UK,1,Tony Parkin at The Tudor Room,Egham,Modern cuisine
19,UK,1,Interlude,Lower Beeding,Creative
20,UK,1,Restaurant Tristan,Horsham,Modern British
21,UK,1,Simon Radley at Chester Grosvenor,Chester,Modern cuisine
22,UK,1,Club Gascon,London,French
23,UK,1,Harwood Arms,Fulham,Modern British
24,UK,1,Ikoyi,Saint James's,Creative
25,UK,1,Pony & Trap,Chew Magna,Modern British
26,UK,1,Kitchen W8,Kensington,Modern cuisine
27,UK,1,Purnell's,Birmingham,Modern cuisine
28,UK,1,Mãos,London,Innovative
29,UK,1,Coworth Park,Ascot,Modern cuisine
30,UK,1,Salt,Stratford-upon-Avon,Modern British
31,UK,1,Gymkhana,Mayfair,Indian
32,UK,1,Tim Allen's Flitch of Bacon,Little Dunmow,Modern British
33,UK,1,Condita,Edinburgh,Modern cuisine
34,UK,1,Sorrel,Dorking,Modern British
35,UK,1,The Sportsman,Seasalter,Modern British
36,UK,1,Ynyshir,Machynlleth,Creative
37,UK,1,Angler,Finsbury,Seafood
38,UK,1,Aquavit,Saint James's,Scandinavian
39,UK,1,La Trompette,Chiswick,Modern British
40,UK,1,Morston Hall,Morston,Modern British
41,UK,1,Locanda Locatelli,Marylebone,Italian
42,UK,1,River Café,Hammersmith,Italian
43,UK,1,Adam's,Birmingham,Modern cuisine
44,UK,1,White Swan,Fence,Modern British
45,UK,1,Loch Bay,Waternish,Modern cuisine
46,UK,1,Bybrook,Castle Combe,Modern British
47,UK,1,Nut Tree,Murcott,Traditional British
48,UK,1,Fraiche,Birkenhead,Creative
49,UK,1,The Royal Oak,Whatcote,Modern British
50,UK,1,Pipe and Glass,South Dalton,Modern British
51,UK,1,John's House,Mountsorrel,Modern cuisine
52,UK,1,Kitchin,Leith,Modern cuisine
53,UK,1,Endo at The Rotunda,London,Japanese
54,UK,1,Dysart Petersham,Richmond upon Thames,Modern cuisine
55,UK,1,Hakkasan Mayfair,Mayfair,Chinese
56,UK,1,Hambleton Hall,Upper Hambleton,Classic cuisine
57,UK,1,Rogan & Co,Cartmel,Creative British
58,UK,1,Allium at Askham Hall,Askham,Modern British
59,UK,1,Amaya,Belgravia,Indian
60,UK,1,The Muddlers Club,Belfast,Modern cuisine
61,UK,1,Dining Room at The Goring,Victoria,Traditional British
62,UK,1,The Peat Inn,Peat Inn,Classic cuisine
63,UK,1,Restaurant Hywel Jones by Lucknam Park,Colerne,Modern British
64,UK,1,Céleste,Belgravia,Modern French
65,UK,1,Mana,Manchester,Creative British
66,UK,1,Galvin La Chapelle,Spitalfields,French
67,UK,1,Paul Ainsworth at No.6,Padstow,Modern cuisine
68,UK,1,Ritz Restaurant,Westminster,Modern British
69,UK,1,Isle of Eriska,Eriska,Scottish
70,UK,1,Carters of Moseley,Birmingham,Modern British
71,UK,1,Star Inn at Harome,Harome,Modern British
72,UK,1,Veeraswamy,Mayfair,Indian
73,UK,1,Bohemia,Saint Helier/Saint-Hélier,Modern cuisine
74,UK,1,Black Swan,Oldstead,Creative British
75,UK,1,Paco Tapas,Bristol,Spanish
76,UK,1,The Angel,Hetton,Modern cuisine
77,UK,1,Pensons,Tenbury Wells,Modern cuisine
78,UK,1,Fordwich Arms,Fordwich,Modern cuisine
79,UK,1,City Social,City of London,Modern cuisine
80,UK,1,Texture,Marylebone,Creative
81,UK,1,Story,Bermondsey,Modern cuisine
82,UK,1,Quilon,Victoria,Indian
83,UK,1,Murano,Mayfair,Italian
84,UK,1,Elephant,Torquay,Modern British
85,UK,1,Roganic,Marylebone,Modern British
86,UK,1,Winteringham Fields,Winteringham,Modern cuisine
87,UK,1,Pied à Terre,Bloomsbury,Creative
88,UK,1,Cottage in the Wood,Braithwaite,Modern British
89,UK,1,Black Rat,Winchester,Modern cuisine
90,UK,1,Leroy,Shoreditch,Modern British
91,UK,1,Pollen Street Social,Mayfair,Creative
92,UK,1,Northcote,Langho,Modern British
93,UK,1,Kai,Mayfair,Chinese
94,UK,1,St John,Clerkenwell,Traditional British
95,UK,1,Old Stamp House,Ambleside,Modern cuisine
96,UK,1,Portland,Regent's Park,Modern cuisine
97,UK,1,Social Eating House,Soho,Modern cuisine
98,UK,1,A. Wong,Victoria,Chinese
99,UK,1,The Clove Club,Shoreditch,Modern cuisine
100,UK,1,Stark,Broadstairs,Modern British
101,UK,1,Pétrus,Belgravia,French
102,UK,1,HRiSHi,Bowness-on-Windermere,Modern cuisine
103,UK,1,Thomas Carr @ The Olive Room,Ilfracombe,Seafood
104,UK,1,Hakkasan Hanway Place,Bloomsbury,Chinese
105,UK,1,The Square,Mayfair,Modern French
106,UK,1,Outlaw's Fish Kitchen,Port Isaac,Seafood
107,UK,1,Oxford Kitchen,Oxford,Modern British
108,UK,1,Masons Arms,Knowstone,Classic French
109,UK,1,Bulrush,Bristol,Modern British
110,UK,1,Trishna,Marylebone,Indian
111,UK,1,Trinity,Clapham Common,Modern cuisine
112,UK,1,Walnut Tree,Llanddewi Skirrid,Modern British
113,UK,1,Forest Side,Grasmere,Modern British
114,UK,1,Five Fields,Chelsea,Modern cuisine
115,UK,1,alchemilla,Nottingham,Modern British
116,UK,1,Sabor,Mayfair,Spanish
117,UK,1,Alyn Williams at The Westbury,Mayfair,Modern cuisine
118,UK,1,The Woodspeen,Newbury,Modern cuisine
